20:30:27.433 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.434 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.434 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.434 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.434 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.434 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.434 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.434 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.434 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.434 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.434 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.434 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.434 [main] DEBUG reversi.Kordinata - konstruktor meghívva.
20:30:27.434 [main] DEBUG reversi.Bejar - metódus meghívása metörtént.
20:30:27.434 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.434 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.434 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.434 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.434 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.434 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.435 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.435 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.435 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.435 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.435 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.435 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.435 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.435 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.435 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.435 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.435 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.435 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.435 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.435 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.435 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.435 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.435 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.435 [main] DEBUG reversi.Kordinata - konstruktor meghívva.
20:30:27.435 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
20:30:27.435 [main] DEBUG reversi.Bejar - vizsgál metódus meghívása megtörtént.
